"","user.id","user.login","count"
"1",1815672,"schizoform",29
"2",42300,"craigmartin",24
"3",14060,"carol-in-maine",2
"4",167833,"agave6_tomwalker",2
"5",1423154,"riski",2
"6",6164323,"sanshel",2
"7",6211134,"brendan295",2
"8",255732,"nfisichelli",1
"9",482319,"bevware",1
"10",1350093,"jennifer792",1
"11",1552603,"elizhalasz",1
"12",1605510,"karenruebhall",1
"13",3083380,"jnaffy",1
"14",3270721,"wjnewton",1
"15",3280215,"polypodius",1
"16",3667475,"mapmaine",1
"17",4333170,"asacerdotevelat",1
"18",5507960,"tgonye23",1
"19",6082297,"jaelgb",1
