"species","kingdom","phylum","class"
"Phalacrocorax auritus","Animalia","Chordata","Aves"
"Spiraea alba","Plantae","Tracheophyta","Magnoliopsida"
"Thuja occidentalis","Plantae","Tracheophyta","Pinopsida"
"Meliscaeva cinctella","Animalia","Arthropoda","Insecta"
"Comptonia peregrina","Plantae","Tracheophyta","Magnoliopsida"
"Fraxinus americana","Plantae","Tracheophyta","Magnoliopsida"
"Popillia japonica","Animalia","Arthropoda","Insecta"
"Acer pensylvanicum","Plantae","Tracheophyta","Magnoliopsida"
"Bartonia virginica","Plantae","Tracheophyta","Magnoliopsida"
"Bombus ternarius","Animalia","Arthropoda","Insecta"
"Cisseps fulvicollis","Animalia","Arthropoda","Insecta"
"Toxomerus marginatus","Animalia","Arthropoda","Insecta"
"Rubus odoratus","Plantae","Tracheophyta","Magnoliopsida"
"Danaus plexippus","Animalia","Arthropoda","Insecta"
"Oclemena acuminata","Plantae","Tracheophyta","Magnoliopsida"
"Pandion haliaetus","Animalia","Chordata","Aves"
"Lobaria pulmonaria","Fungi","Ascomycota","Lecanoromycetes"
"Castor canadensis","Animalia","Chordata","Mammalia"
"Araneus trifolium","Animalia","Arthropoda","Arachnida"
"Bombus borealis","Animalia","Arthropoda","Insecta"
"Cladonia boryi","Fungi","Ascomycota","Lecanoromycetes"
"Lithobates catesbeianus","Animalia","Chordata","Amphibia"
"Drosera rotundifolia","Plantae","Tracheophyta","Magnoliopsida"
"Cornus canadensis","Plantae","Tracheophyta","Magnoliopsida"
"Ascophyllum nodosum","Chromista","Ochrophyta","Phaeophyceae"
"Spergularia rubra","Plantae","Tracheophyta","Magnoliopsida"
"Phaeolus schweinitzii","Fungi","Basidiomycota","Agaricomycetes"
"Chelydra serpentina","Animalia","Chordata","Reptilia"
"Trifolium arvense","Plantae","Tracheophyta","Magnoliopsida"
"Cardamine impatiens","Plantae","Tracheophyta","Magnoliopsida"
"Neoscona arabesca","Animalia","Arthropoda","Arachnida"
"Melilotus albus","Plantae","Tracheophyta","Magnoliopsida"
"Maianthemum canadense","Plantae","Tracheophyta","Liliopsida"
"Taphrina robinsoniana","Fungi","Ascomycota","Taphrinomycetes"
"Impatiens capensis","Plantae","Tracheophyta","Magnoliopsida"
"Dryocampa rubicunda","Animalia","Arthropoda","Insecta"
"Strongylocentrotus droebachiensis","Animalia","Echinodermata","Echinoidea"
"Quercus ilicifolia","Plantae","Tracheophyta","Magnoliopsida"
"Araneus diadematus","Animalia","Arthropoda","Arachnida"
"Toxicodendron radicans","Plantae","Tracheophyta","Magnoliopsida"
"Cerrena unicolor","Fungi","Basidiomycota","Agaricomycetes"
"Dryophytes versicolor","Animalia","Chordata","Amphibia"
"Tsuga canadensis","Plantae","Tracheophyta","Pinopsida"
"Morella pensylvanica","Plantae","Tracheophyta","Magnoliopsida"
"Argentina anserina","Plantae","Tracheophyta","Magnoliopsida"
"Triglochin maritima","Plantae","Tracheophyta","Liliopsida"
"Anaphalis margaritacea","Plantae","Tracheophyta","Magnoliopsida"
"Onoclea sensibilis","Plantae","Tracheophyta","Polypodiopsida"
"Orgyia antiqua","Animalia","Arthropoda","Insecta"
"Lycaena phlaeas","Animalia","Arthropoda","Insecta"
"Thamnophis sirtalis","Animalia","Chordata","Reptilia"
"Euphorbia maculata","Plantae","Tracheophyta","Magnoliopsida"
"Publilia concava","Animalia","Arthropoda","Insecta"
"Lycogala epidendrum","Protozoa","Mycetozoa","Myxomycetes"
"Lycoperdon perlatum","Fungi","Basidiomycota","Agaricomycetes"
"Libellula pulchella","Animalia","Arthropoda","Insecta"
"Pelecinus polyturator","Animalia","Arthropoda","Insecta"
"Rosa rugosa","Plantae","Tracheophyta","Magnoliopsida"
"Inonotus obliquus","Fungi","Basidiomycota","Agaricomycetes"
"Limonium carolinianum","Plantae","Tracheophyta","Magnoliopsida"
"Erethizon dorsatus","Animalia","Chordata","Mammalia"
"Euproctis chrysorrhoea","Animalia","Arthropoda","Insecta"
"Bombus terricola","Animalia","Arthropoda","Insecta"
"Cancer irroratus","Animalia","Arthropoda","Malacostraca"
"Eriophorum virginicum","Plantae","Tracheophyta","Liliopsida"
"Phellopsis obcordata","Animalia","Arthropoda","Insecta"
"Somateria mollissima","Animalia","Chordata","Aves"
"Acronicta impleta","Animalia","Arthropoda","Insecta"
"Doellingeria umbellata","Plantae","Tracheophyta","Magnoliopsida"
"Fagus grandifolia","Plantae","Tracheophyta","Magnoliopsida"
"Rosa multiflora","Plantae","Tracheophyta","Magnoliopsida"
"Quercus rubra","Plantae","Tracheophyta","Magnoliopsida"
"Solanum dulcamara","Plantae","Tracheophyta","Magnoliopsida"
"Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida"
"Carcinus maenas","Animalia","Arthropoda","Malacostraca"
"Viburnum nudum","Plantae","Tracheophyta","Magnoliopsida"
"Lathyrus japonicus","Plantae","Tracheophyta","Magnoliopsida"
"Arctia parthenos","Animalia","Arthropoda","Insecta"
"Eupatorium perfoliatum","Plantae","Tracheophyta","Magnoliopsida"
"Betula alleghaniensis","Plantae","Tracheophyta","Magnoliopsida"
"Vaccinium vitis-idaea","Plantae","Tracheophyta","Magnoliopsida"
"Polytrichum commune","Plantae","Bryophyta","Bryopsida"
"Halichoerus grypus","Animalia","Chordata","Mammalia"
"Tanacetum vulgare","Plantae","Tracheophyta","Magnoliopsida"
"Harrya chromipes","Fungi","Basidiomycota","Agaricomycetes"
"Lasallia papulosa","Fungi","Ascomycota","Lecanoromycetes"
"Melanoplus bivittatus","Animalia","Arthropoda","Insecta"
"Ilex mucronata","Plantae","Tracheophyta","Magnoliopsida"
"Sphinx drupiferarum","Animalia","Arthropoda","Insecta"
"Larix laricina","Plantae","Tracheophyta","Pinopsida"
"Storeria occipitomaculata","Animalia","Chordata","Reptilia"
"Ulota crispa","Plantae","Bryophyta","Bryopsida"
"Fomitopsis mounceae","Fungi","Basidiomycota","Agaricomycetes"
"Carex magellanica","Plantae","Tracheophyta","Liliopsida"
"Ganoderma tsugae","Fungi","Basidiomycota","Agaricomycetes"
"Lycomorpha pholus","Animalia","Arthropoda","Insecta"
