"scientific.name","common.name","iconic.taxon.name","groups","observed.on","place.guess","positional.accuracy","user.login","user.id","captive.cultivated","url","image.url","license","source","checklist","count","longitude","latitude","pic.name"
"Linaria canadensis","canada toadflax","Plantae","Plants",2025-06-17,"Bar Harbor, ME 04609, USA",NA,"brian2445",6730863,"false","https://www.inaturalist.org/observations/290453077","https://static.inaturalist.org/photos/522508895/medium.jpg","","iNaturalist",NA,1,-68.1778444444,44.3393361111,"canada toadflax_brian2445_1"
"Lonicera canadensis","american fly-honeysuckle","Plantae","Plants",2025-06-22,"Mt Desert, ME 04660, USA",NA,"hubertszcz",1031873,"false","https://www.inaturalist.org/observations/291855810","https://inaturalist-open-data.s3.amazonaws.com/photos/525145779/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-68.2807422222,44.3297969444,"american fly-honeysuckle_hubertszcz_2"
"Fomitopsis mounceae","northern red belt","Fungi","Fungi and lichens",2025-06-20,"Hunters Beach Trail, Mount Desert, ME, US",1228,"dylansd4",7792628,"false","https://www.inaturalist.org/observations/292259314","https://inaturalist-open-data.s3.amazonaws.com/photos/525921824/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-68.2186583333,44.3017083333,"northern red belt_dylansd4_3"
"Vaccinium angustifolium","lowbush blueberry","Plantae","Plants",2025-06-20,"Moore Rd, Bar Harbor, ME, US",NA,"kylelima",50988,"false","https://www.inaturalist.org/observations/291333345","https://inaturalist-open-data.s3.amazonaws.com/photos/524166363/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-68.0617833333,44.333395,"lowbush blueberry_kylelima_4"
"Photinus corruscus","winter firefly","Insecta","Insects",2025-06-20,"Hancock County, US-ME, US",5,"wesgapp",311187,"false","https://www.inaturalist.org/observations/291281429","https://inaturalist-open-data.s3.amazonaws.com/photos/524066871/medium.jpg","CC-BY","iNaturalist",NA,1,-68.3493293457,44.2732818638,"winter firefly_wesgapp_5"
"Histrionicus histrionicus","harlequin duck","Aves","Birds",2025-06-22,"Bar Harbor, ME, US",3,"gmizer",2456387,"false","https://www.inaturalist.org/observations/291938959","https://static.inaturalist.org/photos/525306250/medium.jpg","","iNaturalist",NA,1,-68.0666888333,44.335625,"harlequin duck_gmizer_6"
"Pagurus cuanensis","atlantic hairy hermit crab","Animalia","Other animals",2025-06-17,"Hancock County, US-ME, US",6,"belaos",7259581,"false","https://www.inaturalist.org/observations/290569908","https://inaturalist-open-data.s3.amazonaws.com/photos/522732349/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-68.2533317533,44.3478837099,"atlantic hairy hermit crab_belaos_7"
"Onchidoris bilamellata","barnacle-eating dorid","Mollusca",NA,2025-06-17,"Southwest Harbor, ME, USA",6768,"christineyoung",747474,"false","https://www.inaturalist.org/observations/291309321","https://inaturalist-open-data.s3.amazonaws.com/photos/524119305/medium.jpg","CC-BY","iNaturalist",NA,1,-68.3194419677,44.2264047677,"barnacle-eating dorid_christineyoung_8"
"Platorchestia platensis","Platorchestia platensis","Animalia","Other animals",2025-06-19,"Acadia National Park, Hancock County, US-ME, US",NA,"fredgauna",2387308,"false","https://www.inaturalist.org/observations/291045614","https://static.inaturalist.org/photos/523620182/medium.jpg","","iNaturalist",NA,1,-68.31295,44.229202,"Platorchestia platensis_fredgauna_9"
"Rhinanthus minor","yellow rattle","Plantae","Plants",2025-06-22,"Acadia National Park, Bar Harbor, ME, US",5,"mikechaceortiz",19567,"false","https://www.inaturalist.org/observations/291954668","https://static.inaturalist.org/photos/525336894/medium.jpg","","iNaturalist",NA,1,-68.191375,44.317525,"yellow rattle_mikechaceortiz_10"
