"","scientific.name","common.name","count"
"1","Abies balsamea","balsam fir",4
"2","Larus argentatus","herring gull",4
"3","Aronia melanocarpa","black chokeberry",2
"4","Maianthemum canadense","canada mayflower",2
"5","Phalacrocorax auritus","double-crested cormorant",2
"6","Rosa rugosa","rugosa rose",2
"7","Thamnophis sirtalis","common garter snake",2
"8","Acer pensylvanicum","striped maple",1
"9","Antheraea polyphemus","polyphemus moth",1
"10","Atteva aurea","ailanthus webworm moth",1
"11","Betula alleghaniensis","yellow birch",1
"12","Betula papyrifera","paper birch",1
"13","Betula populifolia","gray birch",1
"14","Bombus impatiens","common eastern bumble bee",1
"15","Bombus ternarius","tricolored bumble bee",1
"16","Carcinus maenas","european green crab",1
"17","Castor canadensis","american beaver",1
"18","Catharus guttatus","hermit thrush",1
"19","Chamaedaphne calyculata","leatherleaf",1
"20","Comptonia peregrina","sweetfern",1
"21","Cornus canadensis","canadian bunchberry",1
"22","Corvus brachyrhynchos","american crow",1
"23","Danaus plexippus","monarch",1
"24","Diplolepis spinosa","",1
"25","Dryopteris intermedia","intermediate wood fern",1
"26","Echinarachnius parma","common sand dollar",1
"27","Empetrum nigrum","black crowberry",1
"28","Epifagus virginiana","beechdrops",1
"29","Epipactis helleborine","broad-leafed helleborine",1
"30","Erethizon dorsatum","north american porcupine",1
"31","Eristalis tenax","common drone fly",1
"32","Eupatorium perfoliatum","common boneset",1
"33","Euphrasia nemorosa","common eyebright",1
"34","Eurybia macrophylla","large-leaved aster",1
"35","Hamamelis virginiana","american witch-hazel",1
"36","Helophilus fasciatus","narrow-headed marsh fly",1
"37","Hyla versicolor","gray treefrog",1
"38","Hylocomium splendens","stairstep moss",1
"39","Juniperus communis","common juniper",1
"40","Kalmia angustifolia","sheep laurel",1
"41","Lithobates catesbeianus","american bullfrog",1
"42","Medeola virginiana","cucumber root",1
"43","Morella caroliniensis","southern bayberry",1
"44","Oclemena acuminata","whorled wood aster",1
"45","Oclemena nemoralis","bog aster",1
"46","Osmunda claytoniana","interrupted fern",1
"47","Osmunda spectabilis","american royal fern",1
"48","Phocoena phocoena","harbour porpoise",1
"49","Pinus rigida","pitch pine",1
"50","Pteridium aquilinum","common bracken",1
"51","Sarracenia purpurea","purple pitcher plant",1
"52","Sericomyia chrysotoxoides","oblique-banded pond fly",1
"53","Sibbaldiopsis tridentata","three-toothed cinquefoil",1
"54","Solanum dulcamara","bittersweet nightshade",1
"55","Solidago flexicaulis","broad-leaved goldenrod",1
"56","Solidago puberula","downy goldenrod",1
"57","Solidago simplex","sticky goldenrod",1
"58","Spiraea alba","white meadowsweet",1
"59","Spiraea tomentosa","steeplebush",1
"60","Tamiasciurus hudsonicus","american red squirrel",1
"61","Thamnophis sirtalis pallidulus","maritime garter snake",1
"62","Troglodytes hiemalis","winter wren",1
"63","Viburnum acerifolium","mapleleaf viburnum",1
"64","Zonotrichia albicollis","white-throated sparrow",1
